"","ï..Web.ID","Region","Reported.Date","Reported.Year","Reported.Month","Number.Dead","Minimum.Estimated.Number.of.Missing","Total.Dead.and.Missing","Number.of.Survivors","Number.of.Females","Number.of.Males","Number.of.Children","Cause.of.Death"
"85",44781,"Europe","30-Apr-18",2018,"Apr",1,NA,1,7,NA,1,NA,"Drowning"
"86",44801,"Europe","29-Apr-18",2018,"Apr",1,NA,1,NA,NA,1,NA,"Drowning"
"87",44780,"US-Mexico Border","29-Apr-18",2018,"Apr",1,NA,1,NA,NA,1,NA,"Drowning"
"88",44777,"US-Mexico Border","26-Apr-18",2018,"Apr",1,NA,1,NA,NA,1,NA,"Drowning"
"89",44880,"Middle East","23-Apr-18",2018,"Apr",1,NA,1,NA,NA,1,1,"Shot"
"90",44874,"Europe","22-Apr-18",2018,"Apr",1,NA,1,NA,NA,1,NA,"Drowning"
"91",44879,"Middle East","21-Apr-18",2018,"Apr",2,NA,2,NA,NA,2,NA,"Shot"
"92",44878,"Middle East","20-Apr-18",2018,"Apr",2,NA,2,NA,NA,2,NA,"Shot"
"93",44767,"South America","19-Apr-18",2018,"Apr",4,NA,4,NA,NA,3,1,"Drowning"
"94",44877,"Middle East","14-Apr-18",2018,"Apr",2,NA,2,NA,NA,2,NA,"Shot"
"95",44758,"US-Mexico Border","12-Apr-18",2018,"Apr",2,NA,2,NA,NA,2,NA,"Drowning"
"96",44762,"South Asia","12-Apr-18",2018,"Apr",2,NA,2,NA,NA,2,NA,"Shot"
"97",44757,"Europe","10-Apr-18",2018,"Apr",1,NA,1,3,NA,1,NA,"Drowning"
"98",44755,"Europe","9-Apr-18",2018,"Apr",1,NA,1,1,NA,1,NA,"Drowning"
"99",44774,"North Africa","5-Apr-18",2018,"Apr",1,5,6,NA,NA,NA,NA,"Drowning"
"100",44876,"Middle East","5-Apr-18",2018,"Apr",1,NA,1,NA,1,NA,1,"Shot"
"101",45736,"US-Mexico Border","29-Mar-18",2018,"Mar",1,NA,1,NA,NA,NA,NA,"Drowning"
"102",44683,"Central America","26-Mar-18",2018,"Mar",2,3,5,4,1,1,1,"Drowning"
"103",44679,"US-Mexico Border","24-Mar-18",2018,"Mar",1,NA,1,NA,1,NA,NA,"Suicide"
"104",44678,"US-Mexico Border","22-Mar-18",2018,"Mar",1,NA,1,NA,NA,1,NA,"Drowning"
"105",44712,"US-Mexico Border","18-Mar-18",2018,"Mar",1,NA,1,NA,NA,1,NA,"Drowning"
"106",44756,"South Asia","13-Mar-18",2018,"Mar",2,NA,2,NA,NA,2,NA,"Shot"
"107",44662,"US-Mexico Border","13-Mar-18",2018,"Mar",1,NA,1,NA,NA,1,NA,"Drowning"
"108",44656,"US-Mexico Border","11-Mar-18",2018,"Mar",1,NA,1,4,NA,1,NA,"Drowning"
"109",44673,"US-Mexico Border","7-Mar-18",2018,"Mar",1,NA,1,NA,NA,1,NA,"Drowning"
"110",44650,"Middle East","6-Mar-18",2018,"Mar",1,NA,1,NA,NA,1,NA,"Drowning"
"111",45735,"US-Mexico Border","1-Mar-18",2018,"Mar",1,NA,1,NA,NA,NA,NA,"Drowning"
"112",44619,"Central America","23-Feb-18",2018,"Feb",1,NA,1,25,NA,1,NA,"Shot"
"113",44642,"Central America","23-Feb-18",2018,"Feb",1,NA,1,3,NA,1,NA,"Shot"
"114",44416,"US-Mexico Border","18-Feb-18",2018,"Feb",1,NA,1,NA,NA,1,NA,"Drowning"
"115",44410,"US-Mexico Border","12-Feb-18",2018,"Feb",1,NA,1,NA,NA,1,NA,"Drowning"
"116",44402,"US-Mexico Border","10-Feb-18",2018,"Feb",1,NA,1,NA,NA,1,NA,"Drowning"
"117",45734,"US-Mexico Border","8-Feb-18",2018,"Feb",1,NA,1,NA,NA,NA,NA,"Drowning"
"118",44397,"US-Mexico Border","5-Feb-18",2018,"Feb",1,NA,1,NA,NA,1,NA,"Drowning"
"119",44684,"Middle East","1-Feb-18",2018,"Feb",1,NA,1,NA,1,NA,1,"Shot"
"120",44378,"US-Mexico Border","31-Jan-18",2018,"Jan",1,NA,1,NA,NA,1,NA,"Drowning"
"121",44383,"Europe","31-Jan-18",2018,"Jan",1,NA,1,NA,NA,1,NA,"Drowning"
"122",44380,"US-Mexico Border","31-Jan-18",2018,"Jan",1,NA,1,NA,NA,1,NA,"Drowning"
"123",44379,"US-Mexico Border","31-Jan-18",2018,"Jan",1,NA,1,NA,NA,1,NA,"Drowning"
"124",44363,"Central America","27-Jan-18",2018,"Jan",1,NA,1,NA,NA,1,NA,"Murdered"
"125",44114,"US-Mexico Border","26-Jan-18",2018,"Jan",1,NA,1,NA,NA,1,NA,"Drowning"
"126",44108,"US-Mexico Border","23-Jan-18",2018,"Jan",1,NA,1,NA,1,NA,NA,"Drowning"
"127",44054,"US-Mexico Border","3-Jan-18",2018,"Jan",1,NA,1,NA,NA,1,NA,"Drowning"
"128",44348,"North Africa","27-Dec-17",2017,"Dec",2,NA,2,NA,NA,2,NA,"Dehydration"
"129",44066,"Europe","27-Dec-17",2017,"Dec",1,NA,1,NA,NA,1,NA,"Fall"
"130",44075,"Central America","25-Dec-17",2017,"Dec",1,NA,1,NA,NA,1,NA,"Shot"
"131",44342,"North Africa","23-Dec-17",2017,"Dec",1,NA,1,NA,NA,1,NA,"Starvation"
"132",44073,"US-Mexico Border","23-Dec-17",2017,"Dec",1,NA,1,NA,NA,1,NA,"Drowning"
"133",44686,"Middle East","21-Dec-17",2017,"Dec",7,NA,7,NA,NA,NA,2,"Shot"
"134",44335,"North Africa","21-Dec-17",2017,"Dec",2,NA,2,NA,NA,2,NA,"Starvation"
"135",44328,"North Africa","19-Dec-17",2017,"Dec",1,NA,1,NA,1,NA,NA,"Starvation"
"136",44323,"North Africa","16-Dec-17",2017,"Dec",3,NA,3,NA,NA,3,NA,"Starvation"
"137",44318,"North Africa","13-Dec-17",2017,"Dec",1,NA,1,NA,1,NA,NA,"Starvation"
"138",44319,"North Africa","13-Dec-17",2017,"Dec",3,NA,3,NA,NA,NA,NA,"Starvation"
"139",44316,"North Africa","12-Dec-17",2017,"Dec",3,NA,3,NA,NA,NA,NA,"Dehydration"
"140",44312,"North Africa","8-Dec-17",2017,"Dec",1,NA,1,NA,NA,1,NA,"Starvation"
"141",44309,"North Africa","6-Dec-17",2017,"Dec",2,NA,2,NA,NA,2,1,"Starvation"
"142",44306,"North Africa","5-Dec-17",2017,"Dec",3,NA,3,NA,NA,NA,NA,"Starvation"
"143",44303,"North Africa","1-Dec-17",2017,"Dec",10,NA,10,NA,NA,10,NA,"Dehydration"
"144",44302,"North Africa","30-Nov-17",2017,"Nov",2,NA,2,NA,NA,2,NA,"Dehydration"
"145",44005,"US-Mexico Border","29-Nov-17",2017,"Nov",1,NA,1,NA,NA,1,NA,"Shot"
"146",44548,"Middle East","28-Nov-17",2017,"Nov",1,NA,1,NA,NA,1,NA,"Shot"
"147",44547,"Middle East","27-Nov-17",2017,"Nov",1,NA,1,NA,NA,1,NA,"Shot"
"148",43989,"US-Mexico Border","19-Nov-17",2017,"Nov",1,NA,1,NA,NA,NA,NA,"Drowning"
"149",43983,"South Asia","18-Nov-17",2017,"Nov",5,NA,5,NA,NA,5,NA,"Shot"
"150",43988,"Middle East","17-Nov-17",2017,"Nov",1,NA,1,NA,NA,1,NA,"Shot"
"151",43981,"South Asia","15-Nov-17",2017,"Nov",15,NA,15,NA,NA,15,NA,"Shot"
"152",44274,"North Africa","15-Nov-17",2017,"Nov",5,NA,5,NA,NA,NA,NA,"Starvation"
"153",43979,"Central America","14-Nov-17",2017,"Nov",2,NA,2,24,NA,2,1,"Shot"
"154",43977,"Central America","13-Nov-17",2017,"Nov",2,NA,2,NA,NA,2,NA,"Murdered"
"155",44541,"Middle East","12-Nov-17",2017,"Nov",1,NA,1,NA,NA,1,NA,"Shot"
"156",43975,"US-Mexico Border","11-Nov-17",2017,"Nov",1,NA,1,NA,NA,1,NA,"Drowning"
"157",43987,"Middle East","10-Nov-17",2017,"Nov",2,NA,2,NA,1,1,NA,"Shot"
"158",43968,"US-Mexico Border","9-Nov-17",2017,"Nov",1,NA,1,NA,NA,1,NA,"Drowning"
"159",44253,"US-Mexico Border","6-Nov-17",2017,"Nov",1,NA,1,NA,NA,1,NA,"Drowning"
"160",44254,"North Africa","6-Nov-17",2017,"Nov",4,NA,4,NA,NA,4,NA,"Starvation"
"161",44255,"North Africa","6-Nov-17",2017,"Nov",3,NA,3,NA,NA,NA,NA,"Starvation"
"162",43967,"US-Mexico Border","5-Nov-17",2017,"Nov",1,NA,1,NA,NA,1,NA,"Drowning"
"163",44249,"North Africa","2-Nov-17",2017,"Nov",3,NA,3,NA,NA,3,NA,"Starvation"
"164",44244,"North Africa","30-Oct-17",2017,"Oct",2,NA,2,NA,NA,2,NA,"Dehydration"
"165",44238,"US-Mexico Border","27-Oct-17",2017,"Oct",1,NA,1,NA,NA,1,NA,"Drowning"
"166",44231,"North Africa","24-Oct-17",2017,"Oct",1,NA,1,NA,NA,1,NA,"Dehydration"
"167",44228,"North Africa","23-Oct-17",2017,"Oct",2,NA,2,NA,NA,2,NA,"Starvation"
"168",44218,"North Africa","22-Oct-17",2017,"Oct",2,NA,2,NA,1,1,NA,"Starvation"
"169",43896,"US-Mexico Border","20-Oct-17",2017,"Oct",1,NA,1,NA,NA,1,NA,"Drowning"
"170",43959,"US-Mexico Border","19-Oct-17",2017,"Oct",1,NA,1,NA,NA,1,NA,"Hyperthermia"
"171",43869,"Middle East","15-Oct-17",2017,"Oct",2,NA,2,NA,NA,2,NA,"Shot"
"172",44526,"Middle East","12-Oct-17",2017,"Oct",1,NA,1,NA,NA,1,NA,"Shot"
"173",43862,"US-Mexico Border","11-Oct-17",2017,"Oct",1,NA,1,NA,NA,1,NA,"Drowning"
"174",43856,"Central America","8-Oct-17",2017,"Oct",1,NA,1,NA,NA,1,NA,"Train Accident"
"175",43860,"US-Mexico Border","8-Oct-17",2017,"Oct",1,NA,1,NA,NA,1,NA,"Drowning"
"176",43849,"Central America","4-Oct-17",2017,"Oct",1,NA,1,NA,NA,1,NA,"Train Accident"
"177",44509,"Middle East","1-Oct-17",2017,"Oct",1,NA,1,NA,NA,1,NA,"Shot"
"178",44685,"Middle East","30-Sep-17",2017,"Sep",6,NA,6,NA,NA,4,2,"Shot"
"179",43832,"Central America","29-Sep-17",2017,"Sep",1,NA,1,11,NA,1,NA,"Shot"
"180",44174,"North Africa","27-Sep-17",2017,"Sep",2,NA,2,NA,1,1,NA,"Starvation"
"181",43828,"Middle East","25-Sep-17",2017,"Sep",3,NA,3,7,NA,NA,NA,"Shot"
"182",43827,"US-Mexico Border","24-Sep-17",2017,"Sep",1,NA,1,NA,NA,1,NA,"Drowning"
"183",43767,"Europe","22-Sep-17",2017,"Sep",24,14,38,40,NA,NA,NA,"Drowning"
"184",43768,"US-Mexico Border","22-Sep-17",2017,"Sep",1,NA,1,NA,NA,1,NA,"Dehydration"
"185",43769,"US-Mexico Border","22-Sep-17",2017,"Sep",1,NA,1,NA,NA,1,NA,"Drowning"
"186",44505,"Middle East","22-Sep-17",2017,"Sep",1,NA,1,NA,NA,1,NA,"Shot"
"187",43766,"US-Mexico Border","21-Sep-17",2017,"Sep",1,NA,1,NA,NA,NA,NA,"Drowning"
"188",43996,"US-Mexico Border","21-Sep-17",2017,"Sep",1,NA,1,NA,NA,1,NA,"Drowning"
"189",43825,"Middle East","20-Sep-17",2017,"Sep",1,NA,1,NA,NA,1,1,"Shot"
"190",43846,"Middle East","19-Sep-17",2017,"Sep",23,NA,23,NA,NA,NA,NA,"Shot"
"191",44158,"US-Mexico Border","18-Sep-17",2017,"Sep",1,NA,1,NA,NA,1,NA,"Drowning"
"192",43824,"Middle East","15-Sep-17",2017,"Sep",1,NA,1,NA,NA,NA,1,"Shot"
"193",43689,"US-Mexico Border","13-Sep-17",2017,"Sep",1,NA,1,NA,NA,1,NA,"Drowning"
"194",43684,"Middle East","12-Sep-17",2017,"Sep",2,NA,2,10,NA,NA,NA,"Shot"
"195",44149,"North Africa","11-Sep-17",2017,"Sep",3,NA,3,NA,NA,3,NA,"Dehydration"
"196",43668,"US-Mexico Border","9-Sep-17",2017,"Sep",1,NA,1,NA,NA,1,NA,"Dehydration"
"197",44142,"US-Mexico Border","9-Sep-17",2017,"Sep",1,NA,1,NA,NA,1,NA,"Drowning"
"198",44143,"North Africa","9-Sep-17",2017,"Sep",3,NA,3,NA,NA,3,NA,"Dehydration"
"199",43678,"Middle East","3-Sep-17",2017,"Sep",1,NA,1,NA,1,NA,1,"Shot"
"200",43677,"Middle East","2-Sep-17",2017,"Sep",1,NA,1,NA,NA,1,1,"Shot"
"201",42400,"Central America","1-Sep-17",2017,"Sep",2,NA,2,29,NA,2,1,"Drowning"
"202",43676,"Middle East","31-Aug-17",2017,"Aug",1,NA,1,NA,NA,NA,NA,"Shot"
"203",44593,"North Africa","31-Aug-17",2017,"Aug",2,NA,2,NA,NA,NA,NA,"Starvation"
"204",43758,"North Africa","30-Aug-17",2017,"Aug",2,NA,2,NA,NA,2,NA,"Suffocation"
"205",42395,"US-Mexico Border","29-Aug-17",2017,"Aug",1,NA,1,NA,NA,1,NA,"Drowning"
"206",44479,"Middle East","27-Aug-17",2017,"Aug",1,NA,1,NA,NA,1,1,"Shot"
"207",42389,"Europe","26-Aug-17",2017,"Aug",1,NA,1,NA,NA,1,NA,"Electrocution"
"208",43966,"US-Mexico Border","25-Aug-17",2017,"Aug",1,NA,1,NA,NA,1,NA,"Murdered"
"209",42396,"Middle East","23-Aug-17",2017,"Aug",1,NA,1,2,NA,1,NA,"Shot"
"210",42394,"Middle East","22-Aug-17",2017,"Aug",1,NA,1,NA,NA,1,1,"Shot"
"211",35493,"Middle East","17-Aug-17",2017,"Aug",1,NA,1,NA,NA,1,NA,"Shot"
"212",38437,"Central America","17-Aug-17",2017,"Aug",1,NA,1,NA,NA,1,NA,"Drowning"
"213",44472,"Middle East","14-Aug-17",2017,"Aug",1,NA,1,NA,NA,1,NA,"Shot"
"214",35492,"US-Mexico Border","13-Aug-17",2017,"Aug",1,NA,1,NA,NA,1,NA,"Drowning"
"215",35486,"US-Mexico Border","12-Aug-17",2017,"Aug",1,NA,1,NA,NA,1,NA,"Drowning"
"216",44469,"Middle East","12-Aug-17",2017,"Aug",1,NA,1,NA,NA,1,NA,"Shot"
"217",35491,"Middle East","11-Aug-17",2017,"Aug",1,NA,1,NA,1,NA,NA,"Shot"
"218",35489,"Middle East","9-Aug-17",2017,"Aug",1,NA,1,NA,NA,1,NA,"Shot"
"219",35479,"Middle East","7-Aug-17",2017,"Aug",2,NA,2,NA,NA,2,NA,"Shot"
"220",42380,"US-Mexico Border","7-Aug-17",2017,"Aug",1,NA,1,NA,NA,1,NA,"Dehydration"
"221",44467,"Middle East","6-Aug-17",2017,"Aug",1,NA,1,NA,NA,1,NA,"Shot"
"222",35472,"US-Mexico Border","3-Aug-17",2017,"Aug",1,NA,1,NA,NA,1,NA,"Drowning"
"223",35469,"US-Mexico Border","2-Aug-17",2017,"Aug",1,2,3,NA,NA,1,1,"Drowning"
"224",35478,"Middle East","2-Aug-17",2017,"Aug",1,NA,1,NA,NA,1,1,"Shot"
"225",35470,"US-Mexico Border","1-Aug-17",2017,"Aug",1,NA,1,NA,NA,1,NA,"Dehydration"
"226",35477,"Middle East","28-Jul-17",2017,"Jul",4,NA,4,NA,NA,NA,NA,"Shot"
"227",35442,"US-Mexico Border","27-Jul-17",2017,"Jul",1,NA,1,NA,NA,1,NA,"Drowning"
"228",35444,"Middle East","27-Jul-17",2017,"Jul",2,NA,2,NA,NA,2,NA,"Shot"
"229",35440,"US-Mexico Border","25-Jul-17",2017,"Jul",1,NA,1,NA,NA,1,NA,"Drowning"
"230",35433,"US-Mexico Border","24-Jul-17",2017,"Jul",4,NA,4,NA,3,1,2,"Drowning"
"231",35434,"US-Mexico Border","24-Jul-17",2017,"Jul",1,NA,1,NA,NA,1,NA,"Drowning"
"232",35464,"Central America","24-Jul-17",2017,"Jul",1,NA,1,NA,NA,1,1,"Stabbed"
"233",43730,"North Africa","22-Jul-17",2017,"Jul",5,NA,5,NA,NA,5,NA,"Starvation"
"234",35428,"US-Mexico Border","21-Jul-17",2017,"Jul",1,NA,1,NA,NA,1,NA,"Drowning"
"235",30170,"US-Mexico Border","18-Jul-17",2017,"Jul",1,NA,1,NA,NA,1,NA,"Drowning"
"236",30172,"US-Mexico Border","18-Jul-17",2017,"Jul",1,NA,1,NA,NA,1,NA,"Drowning"
"237",30168,"US-Mexico Border","17-Jul-17",2017,"Jul",1,NA,1,NA,NA,1,NA,"Drowning"
"238",44463,"Middle East","16-Jul-17",2017,"Jul",1,NA,1,NA,NA,1,NA,"Shot"
"239",35441,"Middle East","15-Jul-17",2017,"Jul",6,NA,6,NA,NA,NA,NA,"Shot"
"240",30158,"Middle East","12-Jul-17",2017,"Jul",3,NA,3,NA,NA,NA,1,"Shot"
"241",31131,"US-Mexico Border","10-Jul-17",2017,"Jul",1,NA,1,NA,NA,1,NA,"Dehydration"
"242",31129,"Middle East","8-Jul-17",2017,"Jul",2,NA,2,NA,NA,NA,NA,"Shot"
"243",31125,"US-Mexico Border","6-Jul-17",2017,"Jul",1,NA,1,NA,NA,1,NA,"Drowning"
"244",31124,"Central America","5-Jul-17",2017,"Jul",1,NA,1,NA,NA,1,NA,"Drowning"
"245",35452,"US-Mexico Border","5-Jul-17",2017,"Jul",1,NA,1,NA,NA,1,NA,"Hyperthermia"
"246",43711,"North Africa","1-Jul-17",2017,"Jul",3,NA,3,NA,NA,NA,NA,"Dehydration"
"247",43780,"North Africa","1-Jul-17",2017,"Jul",2,NA,2,NA,1,1,NA,"Dehydration"
"248",44583,"North Africa","30-Jun-17",2017,"Jun",2,NA,2,NA,NA,NA,NA,"Shot"
"249",44586,"North Africa","30-Jun-17",2017,"Jun",1,NA,1,NA,NA,NA,NA,"Shot"
"250",44585,"North Africa","30-Jun-17",2017,"Jun",2,NA,2,NA,NA,NA,NA,"Shot"
"251",44588,"North Africa","30-Jun-17",2017,"Jun",1,NA,1,NA,NA,NA,NA,"Starvation"
"252",44584,"North Africa","30-Jun-17",2017,"Jun",1,NA,1,NA,NA,NA,NA,"Shot"
"253",44589,"North Africa","30-Jun-17",2017,"Jun",3,NA,3,NA,NA,NA,NA,"Shot"
